127.0.0.1 - - [07/Feb/2020:23:18:52 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:18:55 +0900] "GET /project01/ HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:18:55 +0900] "GET /project01/resources/assets/js/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:18:55 +0900] "GET /project01/resources/assets/css/main.css HTTP/1.1" 200 84146
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:18:55 +0900] "GET /project01/resources/assets/js/jquery.scrolly.min.js HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:18:55 +0900] "GET /project01/resources/assets/js/jquery.scrollex.min.js HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:18:55 +0900] "GET /project01/resources/assets/js/breakpoints.min.js HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:18:55 +0900] "GET /project01/resources/assets/js/browser.min.js HTTP/1.1" 200 1851
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:18:55 +0900] "GET /project01/resources/assets/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:18:55 +0900] "GET /project01/resources/assets/js/main.js HTTP/1.1" 200 5346
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:18:55 +0900] "GET /project01/resources/assets/css/fontawesome-all.min.css HTTP/1.1" 200 55967
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:18:56 +0900] "GET /project01/resources/assets/webfonts/fa-regular-400.eot? HTTP/1.1" 200 34388
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:18:56 +0900] "GET /project01/resources/assets/webfonts/fa-solid-900.eot? HTTP/1.1" 200 192116
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:18:56 +0900] "GET /project01/resources/images/overlay.png HTTP/1.1" 200 2807
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:18:56 +0900] "GET /project01/resources/images/bg.jpg HTTP/1.1" 200 405114
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:19:22 +0900] "GET /project01/ HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:19:22 +0900] "GET /project01/resources/assets/css/main.css HTTP/1.1" 200 84146
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:19:22 +0900] "GET /project01/resources/assets/js/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:19:22 +0900] "GET /project01/resources/assets/js/jquery.scrollex.min.js HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:19:23 +0900] "GET /project01/resources/assets/js/jquery.scrolly.min.js HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:19:23 +0900] "GET /project01/resources/assets/js/browser.min.js HTTP/1.1" 200 1851
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:19:23 +0900] "GET /project01/resources/assets/js/breakpoints.min.js HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:19:23 +0900] "GET /project01/resources/assets/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:19:23 +0900] "GET /project01/resources/assets/js/main.js HTTP/1.1" 200 5346
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:19:23 +0900] "GET /project01/resources/assets/css/fontawesome-all.min.css HTTP/1.1" 200 55967
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:19:23 +0900] "GET /project01/resources/images/overlay.png HTTP/1.1" 200 2807
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:19:23 +0900] "GET /project01/resources/images/bg.jpg HTTP/1.1" 200 405114
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:19:23 +0900] "GET /project01/resources/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 75440
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:19:23 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:28:38 +0900] "GET /project01/ HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:28:38 +0900] "GET /project01/resources/assets/js/browser.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:28:38 +0900] "GET /project01/resources/assets/js/jquery.scrolly.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:28:38 +0900] "GET /project01/resources/assets/js/jquery.scrollex.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:28:38 +0900] "GET /project01/resources/assets/js/breakpoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:23:28:38 +0900] "GET /project01/resources/assets/css/main.css HTTP/1.1" 304 -
